Post,Comment,Sentiment
Uganda to prosecute US national on terrorism charges,Bazunguz call us corrupt and they can also prove it... We need to surprise them and do the opposite. How I wish everyone in Africa could do their jobs diligently!! FOR GOD AND MY COUNTRY.,positive
Uganda to prosecute US national on terrorism charges,Our borders are too porous to allow anyone entry into Uganda and to make matters worse corruption at it's best.,positive
Uganda to prosecute US national on terrorism charges,UPF is Gud at crisis mgmt. Wat wud have happened if they had no issues with de wife? Uganda zaabu,negative
Uganda to prosecute US national on terrorism charges,Is this after Tamale Mirundi's talk? He actually advocated for sacking all immigation officers.,positive
Uganda to prosecute US national on terrorism charges,Useless immigration...I once witnessed a dangerous unprofessional shocking security protocol at EBB  we got no immigration trust me. Only money hunters.,negative
Uganda to prosecute US national on terrorism charges,Under probe??? Mpozi in which country...u mean UGANDA as in U GA NDA,negative
Uganda to prosecute US national on terrorism charges,Wn dd i read  immigration & aviation police undr probe invstigation 4allwing police arrest KB at z airport evn b4 signing out his rturn tickt?,positive
Uganda to prosecute US national on terrorism charges,Should we hope for any positive result!,positive
Uganda to prosecute US national on terrorism charges,But Andrew rugasira must u comment????,neutral
Uganda to prosecute US national on terrorism charges,Our security is rotten ...,negative
Uganda to prosecute US national on terrorism charges,The problem is that at the boarder police wont check whites  but we even if you present ID they will treat you like a foreigner but all in all DADDY MUSEVENI HE SHOULD BE AWARE THAT WE DONT HAVE THAT SECURITY,positive
Cashier goes missing  lover arrested,I pity Uganda Police Bambi. Instead of summoning the poor boy to record a statement   they just proceed to arrest as though they have envidence. I cry loud oh poor Ugandan. Ugandan Detectives shd be sent to USA to study how and why crimes are committed.,negative
Cashier goes missing  lover arrested,Poor sentence construction. That headline means: The police have arrested two people who went missing under mysterious circumstances. One of those missing persons was the boyfriend of a middle-aged woman. In that case  it is even useless to try to redeem the use of the adjective middle-aged on a 28year old woman.,negative
Cashier goes missing  lover arrested,hahaha   some one of early 30z cant scare people mbu she is lost    may be if they kill her,positive
Cashier goes missing  lover arrested,When u love rich mens daughters.... They kidnap them for ransom ..poor guy is arrested faa,negative
Cashier goes missing  lover arrested,28 mbu middle aged mtsweeee,negative
Cashier goes missing  lover arrested,where was this from?,positive
Cashier goes missing  lover arrested,Middle aged kyo ka new vision @28yrs haaa haaa that means she will be dead by 56yrs how can one by middle aged? @ that a person finishes university in some courses.,negative
Cashier goes missing  lover arrested,God have mercy and take control of this situation  we need her alive,positive
Cashier goes missing  lover arrested,Dats Y Iam Single kati Boy Friend Agiramu Wa??,negative
Cashier goes missing  lover arrested,Prayer is the key mi dia trust God he will give u the answer n he will show u tureth,positive
Cashier goes missing  lover arrested,In her late 20s,positive
Cashier goes missing  lover arrested,!!!!!!!!!!!!!!!!!!!! maaaaay beeeeeeeee,positive
Cashier goes missing  lover arrested,Boyfriend is always first suspect,positive
Cashier goes missing  lover arrested,Ndwooza ola l new BF might no some thing,negative
Cashier goes missing  lover arrested,Uganda zaabu mpawo atalikaba,neutral
Cashier goes missing  lover arrested,Now bf arrested for what??.,negative
Cashier goes missing  lover arrested,Arrest side kick too,negative
Cashier goes missing  lover arrested,Sad,positive
Agaba rose above mental illness to shine at S4,True  wise men dont come from buganda place,positive
Agaba rose above mental illness to shine at S5,So what?,negative
Agaba rose above mental illness to shine at S6,Congratulations co name. God is the greatest. Thank you for making it  illness come and go.. Hope attracts the future. BUSHENYI oyyyee. Good luck to all Bushenyi students and Uganda at large.,positive
Agaba rose above mental illness to shine at S7,I have a bone to pick with journalists. Every time UNEB results are out  they go out to schools to extort money from management and owners who they convenience that it's a form of advertising to have their best candidates in the papers. They even fabricate statistics showing the best schools and if you critically analyse the list  you realise it has more private schools known for placing adverts.what ever parameters they use to come to this conclusion  they them selves know better.,negative
Agaba rose above mental illness to shine at S8,oh congs ma dia en entire staff light secondary school .we wish the best,positive
Agaba rose above mental illness to shine at S9,So what? Did he attend examination to fail or pass? So irrelevant,negative
Agaba rose above mental illness to shine at S10,I don't believe in uneb results no more !!!!! You know why !!,negative
Agaba rose above mental illness to shine at S11,God being his help he can make it to greater heights,positive
Agaba rose above mental illness to shine at S12,The district with the most brilliant guys ever. Envy Or Not #Bushenyi remains itself,positive
Agaba rose above mental illness to shine at S13,Uo the Hero my Brother,positive
Agaba rose above mental illness to shine at S14,Is he aboy?..Rose,positive
Agaba rose above mental illness to shine at S15,cheers my name sake.,positive
Agaba rose above mental illness to shine at S16,Congs,positive
Agaba rose above mental illness to shine at S17,ee mental what??? hmmn,neutral
Agaba rose above mental illness to shine at S18,Congs,positive
Agaba rose above mental illness to shine at S19,Wow,positive
Agaba rose above mental illness to shine at S20,Congrats. Bravo,positive
Agaba rose above mental illness to shine at S21,Asiimwe Colette Hlest  Elith Njoki Nabimanya Congz,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Namwe mutulekumu good enough nti they can afford to go German for treatment how about fellow women who die in poor hospitals all over the country and there not reported at all.bantu mwe mwatutama .let her go her journey ended.,negative
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Her day has come let her go you wait yours,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Sleep well gentle soul,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,So sad.....,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,rip,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,RIP,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Requeiscat in pace,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,So??????,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,R.I.P,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,So sorry.,positive
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Sorry Rip,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,that's also happening in our country in health centers .. imagine wen an HIV patient is the one doing the testing  what do u really expect,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,How sad! Human life is sacred. Whoever plays around with people's lives deserves a very severe punishment; one that will send a message to other ill minded individuals to not even think of committing such inhuman acts. R.I.P humanity,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Not any penalty at all for the word of God says we should not condemed  it is the Lord to condem and the Bible says that we should forgive our friends.,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Such A Person Should Be Hanged With Immediate Effect.,negative
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Accept injections when it's very necessary  and while at it make sure you see the health care worker unpacking the syringe and needle,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,He deserves a death penalty,negative
'Fake' doctor accused of infecting 46 Indians with HIV arrested,let him fetch 46 yrs in jelly as the namba of p'le he put them on HIV disease.,neutral
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Your Excellency M7  come and read this :( :( :( . What penalty does this guy deserve?,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,The original news from sky state 33 people,neutral
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Waoo    what a heartless guy? may the law takes its part,neutral
'Fake' doctor accused of infecting 46 Indians with HIV arrested,What ?????,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Wrong picture!!,neutral
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Too bad,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Sexual intercourse has been cited as the leading cause of HIV/AIDS  BUT now this intentional infection phenomenal of injections is common. To me all the medical practitioners must be screened and those found to have HIV must be isolated and restricted to only oral therapies,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,That means Ugandans are not at risk since indians have sticky cultural behavior when it comes to mixing races .... sorry about the incident ....,positive
'Fake' doctor accused of infecting 46 Indians with HIV arrested,That means Ugandans are not at risk since indians have sticky cultural behavior when it comes to mixing races .... sorry about the incident .... now am proud not to be an indian,positive
Police slap murder charges against Kitatta¡¯s brother  7 others,Its not u  itz the Updf  stop confusing the pipo of Uganda u foolz,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,I thought police destroys confiscated drugs but now this proves they just consume them by themselves.,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,why use had english slap  people may not understand jst say impose murder charges on them,positive
Police slap murder charges against Kitatta¡¯s brother  7 others,The Police has lost its salt. It no longer has the public goodwill to prosecute criminals which it praises in public for 'fighting crime'.,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,Police is really had working as usual protect citizens and their properties .uganda zaabu,positive
Police slap murder charges against Kitatta¡¯s brother  7 others,Kayima want to hoodwink people that he didnt know that boda boda 2010 goons were untouchable?If i may ask him what was done to the boda boda 2010 fools who beat up our kidz at Busega coz of red ribbons on their heads and the videos exists but the police until now is investigating.If it wasnt for CMI boda boda 2010 goons would be still murdering robbing and beating up people.,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,You are supposed to be given a certificate of Demerit,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,Why to give out kitata's bro? Bcz kitata Was placed by Kahura. We no longer need news from police bt from katumba,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,Panicking Police now!,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,Now that's is the end of this case.,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,Why not kitata??? His godfather has helped him??,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,And why not Kitata himself ??,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,Not surprised good job Police,positive
Police slap murder charges against Kitatta¡¯s brother  7 others,Interesting!!,positive
Police slap murder charges against Kitatta¡¯s brother  7 others,Hahahaaaaaaas karekyezi,negative
Police slap murder charges against Kitatta¡¯s brother  7 others,Slapped is small.. .bombed wd sound better,positive
Police slap murder charges against Kitatta¡¯s brother  7 others,Why Moslems?????,negative
Telecom firm in Shs180b network upgrade,fake news.......very poor network coverage and limitations on self data usage.... No sense...... Airtel revise ur ways.... For sure your network is the worst,negative
Telecom firm in Shs180b network upgrade,increasing coverage they have done but internet strength to meet the growing network users is another thing. i dont know whether Airtel & UCC are both aware of how weak is airtel internet? you buy your bundle & it gets used up before even loading any content its really disappointing.,positive
Telecom firm in Shs180b network upgrade,Coverage would be OK but capacity is the problem. Your Network Engineers need to optimise the network thoroughly.,positive
Telecom firm in Shs180b network upgrade,POOR INTERNET NETWORK.. Africel is way better than you...,negative
Telecom firm in Shs180b network upgrade,For me i changed to Airtel-Kenya coz it's broadband covers my areas of Busia and it's super fast  reliable and very cheap compared to Airtel Uganda,positive
Telecom firm in Shs180b network upgrade,Coverage is done but quality and Price for data must be checked. Am struggling with network here now  on social data which nowdays shows blurry videos,positive
Telecom firm in Shs180b network upgrade,increase on network coverage wil backup better data usage to the users especially to those researchers of different kinds,positive
Telecom firm in Shs180b network upgrade,A kadongo kamu song will play half way when aitel internet is still searching  though beta than mtn,positive
Telecom firm in Shs180b network upgrade,Even if you increase coverage your network is very poor that's why am on africell,positive
Telecom firm in Shs180b network upgrade,Yah i watched da newz yesto ........thanks to airtel n ts mai favourite.....,positive
Telecom firm in Shs180b network upgrade,Of course their internet network is very poor.,negative
Telecom firm in Shs180b network upgrade,I think that 4G meant speed of putting up posters nothing else.,positive
Telecom firm in Shs180b network upgrade,Still I prefer mtn anytime any day,negative
Telecom firm in Shs180b network upgrade,Conq aitel,positive
Telecom firm in Shs180b network upgrade,1G upcountry!!!,negative
Telecom firm in Shs180b network upgrade,good,positive
Telecom firm in Shs180b network upgrade,My airtel net work disappears after loading MBS then its comes after they got expired,negative
URA boss fired over Shs15 million bribe,Will he refund the money?,negative
URA boss fired over Shs15 million bribe,He is unlucky OR he ate alone.There are very many soliciting bribes within the same institution un-caught and they brag freely publically.,negative
URA boss fired over Shs15 million bribe,15million only coz his muganda 29 m + others hundreds of men and woman some told us 40ms some say 80m for lifting your year not to die .nocense,negative
URA boss fired over Shs15 million bribe,You only arrest small fish the baganda how about the bakoto group. Kale bantu mwe mwantama kunsi eno,negative
URA boss fired over Shs15 million bribe,Mayinja some ppl say westerner s are the only one s in big position s in that authority,positive
URA boss fired over Shs15 million bribe,Why would you assume we'd think he's related to the singer simply because they're namesakes?,positive
URA boss fired over Shs15 million bribe,Why don't they target big fish ? Even 15m is nothing to a businessman,positive
URA boss fired over Shs15 million bribe,Good work  but was the money recovered???,positive
URA boss fired over Shs15 million bribe,corruption in URA is at climax but with no hopes it will go down #Reduce,negative
URA boss fired over Shs15 million bribe,Good Move. Other Untouchable Big Fish Are There Lurking About.,positive
URA boss fired over Shs15 million bribe,Fired no problem  he will be employed by kcca,negative
URA boss fired over Shs15 million bribe,Good work. Fire more!,positive
URA boss fired over Shs15 million bribe,Let him go with his executive,positive
URA boss fired over Shs15 million bribe,that's not enough  let him vomit the cash too,negative
URA boss fired over Shs15 million bribe,old kampala is kampala south,positive
URA boss fired over Shs15 million bribe,This is Uganda,negative
URA boss fired over Shs15 million bribe,???,neutral
URA boss fired over Shs15 million bribe,Only,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Try to put hot pepper on the fingers.,positive
I cannot stop biting my nails  Please advise because it is embarrassing,sory datz a habit na eazi to get away from. but try all possible ways to kill it by making ur hands busy put pepper on fingers try putting on gloves en text me if u want more,positive
I cannot stop biting my nails  Please advise because it is embarrassing,Messi is better than ronaldo,neutral
I cannot stop biting my nails  Please advise because it is embarrassing,Go for mental check up sebbo tuveko totukoya bambi.,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Carol this is for u; read more here...,neutral
I cannot stop biting my nails  Please advise because it is embarrassing,keep biting it is just a harmless habit.,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Lie. Ive been bitting ma nails since,positive
I cannot stop biting my nails  Please advise because it is embarrassing,it's nt amental problem its jst abehavior in response to change in assorounding env't,positive
I cannot stop biting my nails  Please advise because it is embarrassing,Just cut off ur fingers,positive
I cannot stop biting my nails  Please advise because it is embarrassing,Get a borne,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Olimwenzi,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Next'll a finger!,neutral
I cannot stop biting my nails  Please advise because it is embarrassing,The outcome is this....,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Just stop!!,positive
I cannot stop biting my nails  Please advise because it is embarrassing,Hahaha manicure like ladies hahaha,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Cut off ur hand,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Hahaha... M not alone,negative
I cannot stop biting my nails  Please advise because it is embarrassing,Visit a psychiatric specialist,positive
Do better than NMS  Kasaija tells Joint Medical Stores,Interesting  telling a private firm to out compete a gov't parastatal  words of a Minster more over of finance  Uganda is is surely rotten,negative
Do better than NMS  Kasaija tells Joint Medical Stores,Where are the opposition in this country??? I expect one of the mp to resign over the age limit amendment n see how brave they are,negative
Do better than NMS  Kasaija tells Joint Medical Stores,THEY ARE not THE SAME!?,positive
Do better than NMS  Kasaija tells Joint Medical Stores,Hon minister are u working for jms or the government in charge of funding the the Nms be in Class.,negative
Do better than NMS  Kasaija tells Joint Medical Stores,Don't give a F*k nigga s toking of competition wen there r no drugs in government health centers Hmh I hear #uganda #zaabu. Frnds #uganda #bwaavu!!!!!,negative
Do better than NMS  Kasaija tells Joint Medical Stores,Let Kasaija first work on his incompetences before he attacks anybody! That thief and all his team in the ministry esp that guy with those terrible teeth. Can Kasaija come out and explain this? ? https://kampalapost.com/content/news/probe-pins-kasaija-muhakanizi-misappropriation-shs720bn-medicine-cash,negative
Do better than NMS  Kasaija tells Joint Medical Stores,Are you willing to be a healthy minister next term how can they do it perfectly without enough funds don't think like your boss,negative
Do better than NMS  Kasaija tells Joint Medical Stores,Ugandans wake up ! JMS & NMS aren't government bodies duplicating services ? High level thuggery of tax payers money !,negative
Do better than NMS  Kasaija tells Joint Medical Stores,Such comments are expected from such guys who wud do and say anything just to keep m7 in power since its from that that they eat,negative
Do better than NMS  Kasaija tells Joint Medical Stores,As if JMS is a government enterprise....the limit had to be 75 or below at 70!!,negative
Do better than NMS  Kasaija tells Joint Medical Stores,what kind of advice do u give when u have failed to advice M7 to retire. Hehe  enough is enough a cock does not dance at night.,negative
Do better than NMS  Kasaija tells Joint Medical Stores,Ts this junta govmnt Ch z incompetent how does he expect ts institution to b competent?,negative
Do better than NMS  Kasaija tells Joint Medical Stores,So is there any functional difference in mandates between JMS and NMS or one is a duplicate of the othee,positive
Do better than NMS  Kasaija tells Joint Medical Stores,Wait. You mean two government agencies have now become competitors.,negative
Do better than NMS  Kasaija tells Joint Medical Stores,Government abdicated its duties long ago through privatization!,negative
Do better than NMS  Kasaija tells Joint Medical Stores,JMS vs NMS who is fooling who ?,negative
Do better than NMS  Kasaija tells Joint Medical Stores,The minister is right,positive
Do better than NMS  Kasaija tells Joint Medical Stores,Ogukadeeee Gutunula nga embwa,negative
Mountains of the Moon University applies for gov't take over,The former executive director of NCHE  Prof ABK Kasozi once said that universities cannot only depend and rely on tuition fees as a source of their income to support operations. Those that did  would either merge with bigger ones  be taken over by government or collapse and close. This has come to pass.,positive
Mountains of the Moon University applies for gov't take over,This will cause regional imbalance  so there are 3 public universities this will not be a fair move,negative
Mountains of the Moon University applies for gov't take over,Sad news but even the government failed to maintain there's,negative
Mountains of the Moon University applies for gov't take over,If they have failed to manage it privately how will it run when it becomes a public...... Because in most cases private institutions r more efficient than the public ones...,negative
Mountains of the Moon University applies for gov't take over,MMU is one of the best Universities we have today in Uganda  I guess giving it to our fake military government is a move to backsliding it. The community should join hands together with the Tooro Kingdom cause the got money and make it shine the more #BatooroGetSerious,negative
Mountains of the Moon University applies for gov't take over,The king is described as a boy. Maybe they have failed to sustain their institution thus asking the govt to takeover,negative
Mountains of the Moon University applies for gov't take over,Good or bad? Ask kabale university.....they will tell you,positive
Mountains of the Moon University applies for gov't take over,why not keep it private or community based they think everything must be gov't,negative
Mountains of the Moon University applies for gov't take over,Mountain of the moon university? Ummmmm!!!!!,negative
Mountains of the Moon University applies for gov't take over,Hope they directed their request to the right minister and right ministry.,positive
Mountains of the Moon University applies for gov't take over,They h¨¤ve failed to maintain it.......,negative
Mountains of the Moon University applies for gov't take over,This dark continent hmmm,negative
Mountains of the Moon University applies for gov't take over,Great move,positive
Mountains of the Moon University applies for gov't take over,It's  one of the fakest universities we hv n east Africa let them just close it,negative
Mountains of the Moon University applies for gov't take over,A great move,positive
Mountains of the Moon University applies for gov't take over,gagagaaaa wuyii,negative
Mountains of the Moon University applies for gov't take over,Kasenene?,neutral
Mountains of the Moon University applies for gov't take over,Why???,positive
Why Ankole Christians protested against Bishop Mwesigwa,Those people love protesting. From King Henry time when he organised for leaving of Catholic church calling for Protestant Refomation. To today in Uganda. Protestants are always Protesting will there name shall remain Protestants even in Heaven.,negative
Why Ankole Christians protested against Bishop Mwesigwa,That z why they are called  protestants  n infact d first rioter in d history of d catholic church z their founder - Martin Luther King.,negative
Why Ankole Christians protested against Bishop Mwesigwa,Church issues are always solved within the Church and don't use your riches in Ankole to interfere with God's work.Remember God gave you riches but if turn against him then He will also turn against you.Remember religious leaders are God's ambassadors and you either receive blessings or curshes from them.so don't take your politics to c Church,negative
Why Ankole Christians protested against Bishop Mwesigwa,What is this man's stand on  Togikwatako'?? That might be the source of his troubles,negative
Why Ankole Christians protested against Bishop Mwesigwa,Looks there is a hidden sponsor!! Why now???,negative
Why Ankole Christians protested against Bishop Mwesigwa,All they want is to be under south ankole diocese which they say is nearer compared to where they're currently.,negative
Why Ankole Christians protested against Bishop Mwesigwa,It's nothing. They are just being Protestants.,negative
Why Ankole Christians protested against Bishop Mwesigwa,Let them use official means to join South Ankole political demonstrations are not necessary.,negative
Why Ankole Christians protested against Bishop Mwesigwa,U mix religion and politics.... All u will get is disaster,negative
Why Ankole Christians protested against Bishop Mwesigwa,They should should start their own if not contented with the leadership!,positive
Why Ankole Christians protested against Bishop Mwesigwa,Did they suggested what they want after protest?,positive
Why Ankole Christians protested against Bishop Mwesigwa,Cerebrated???? Celebrated ?,positive
Why Ankole Christians protested against Bishop Mwesigwa,Did Christians cerebrate or celebrate???,positive
Why Ankole Christians protested against Bishop Mwesigwa,Banange bikibinno?????,negative
Why Ankole Christians protested against Bishop Mwesigwa,And hu cares?,negative
Why Ankole Christians protested against Bishop Mwesigwa,Why always ankole region protesting against bishops  should every church become a diocese in ankole? Plz fellow Christians that's being more body than spiritual.,positive
2 700 prisoners tipped for presidential pardon,That Sharma Kooky fella should have been shot. He savagely electrocuted the wife,negative
3 700 prisoners tipped for presidential pardon,But keweesi murder suspects pardoned themselves kuba they know themselves and where are they tubawe kubilabo byakulisimansi,negative
4 700 prisoners tipped for presidential pardon,I haven't read the post but my suggestion is that they make a mass grave for everyone who voted for yes. Where did Kibweteri of Kanungu go. He should come and work on the yes men,negative
5 700 prisoners tipped for presidential pardon,That's good news  a welcome gesture to herald a new 7-year term  which should usher in reconciliation after differences of political opinion had kept people apart. It's a godsend chance for the will-be-released inmates to fit well in society  gaining acceptance within their native communities. The population has to forgive them for offences of the past (for which they've already served sentences) & give them new leases of life. References to the gravity of offences committed  as the case was with Kooky  would be injurious to the wellbeing of these returnees to 'normal life'. Let's forgive their past. Who doesn't err at one point or another? We're treading along a new path  shaping a new Uganda for the better.....let's welcome them with brotherly love. There's no room for reprisals. A good 'mark' of statesmanship.,positive
6 700 prisoners tipped for presidential pardon,It may not sound good to the opponent side bt thanks our beloved president for having parental heart .,positive
7 700 prisoners tipped for presidential pardon,There was even a Davinder Kumar  did he also see the light? Sad they didn't serve life.,negative
8 700 prisoners tipped for presidential pardon,This is wat pastor Serwadda has been preaching year after year.,positive
9 700 prisoners tipped for presidential pardon,Are Nyanzi and KB on the list????,negative
10 700 prisoners tipped for presidential pardon,Actions after an overthrow of government,negative
11 700 prisoners tipped for presidential pardon,Hope #Bryan_white isn't among   we hate such silly acts in public,negative
12 700 prisoners tipped for presidential pardon,wabura muzei otukalakase emwaka olinga afuga ebigali,negative
13 700 prisoners tipped for presidential pardon,Do They Include This Regimes Political Prisionerz,positive
14 700 prisoners tipped for presidential pardon,Hope Dralu is one of them,positive
15 700 prisoners tipped for presidential pardon,Thank u my President,positive
16 700 prisoners tipped for presidential pardon,No work done,negative
17 700 prisoners tipped for presidential pardon,mission accomplishers ,positive
18 700 prisoners tipped for presidential pardon,We Christians we agree with that after repenting the sins are forgiven. They must do that first bse we are all human beings. We do sin.,positive
19 700 prisoners tipped for presidential pardon,U DIE STUPID,negative
Uganda among top US aid recipients,Last week Tumwebaze told the US ambassador to stop meddling in uganda politics now l think he knows who the pay master is.,negative
Uganda among top US aid recipients,Try and get a sector analysis report for that funding. You will be shocked where the money goes and who gets it.,negative
Uganda among top US aid recipients,What suprises me is that u dont see where the money Goes.ujust here 968billions have been given to uganda,negative
Uganda among top US aid recipients,Ako kasimo ka state house for selling Uganda and Ugandans to bazungu,negative
Uganda among top US aid recipients,U a de spearheaderz ov corrupt guys in Uganda  aren't u seeing reports ov Uganda debt network,negative
Uganda among top US aid recipients,US has not given aid yo UG.It has given aid to awestern kingdom.,negative
Uganda among top US aid recipients,I will tell my friend D. Triumph John to stop the said aid  unless I say so!,negative
Uganda among top US aid recipients,Shame on us. That represents alot of dependence for a 50 + year old independent country as we call ourselves. I blame the population boom and the fact our president is always spoon feeding people instead of teaching them how to make it on their own. And the fact that government is concern more on foreign investment than the local and providing policies that favour them more then us the locals. Why afew that be exposed to the outside world have been made it but most still cry to the government for help. Because Uganda is no longer ours. But foreigners. Just the kind of attitude we need to make it to number 1 on that list. Style up ugandans,negative
Uganda among top US aid recipients,Z that an achievement? there z nothing like free aid ,negative
Uganda among top US aid recipients,Where does that money goes,negative
Uganda among top US aid recipients,Hmm a sign of a failed state,negative
Uganda among top US aid recipients,No wonder aid,negative
Uganda among top US aid recipients,U.S. stop de aid,negative
Uganda among top US aid recipients,It is sad!,positive
